Abu Dhabi,37 °C
Accra,25 °C
Addis Ababa,15 °C
Algiers,27 °C
Alofi,24 °C
Amman,25 °C
Amsterdam,21 °C
Ankara,28 °C
Antananarivo,17 °C
Apia,26 °C
Ashgabat,29 °C
Asuncion,24 °C
Athens,29 °C
Baghdad,14 °C
Baku,25 °C
Bamako,27 °C
Bandar Seri Begawan,23 °C
Bangkok,29 °C
Bangui,29 °C
Banjul,30 °C
Basseterre,30 °C
Beijing,24 °C
Beirut,27 °C
Belgrade,23 °C
Belmopan,32 °C
Berlin,22 °C
Bern,20 °C
Bishkek,29 °C
Bissau,28 °C
Bogota,19 °C
Brades,26 °C
Brasilia,27 °C
Bratislava,22 °C
Brazzaville,24 °C
Bridgetown,30 °C
Brussels,21 °C
Bucharest,22 °C
Budapest,23 °C
Buenos Aires,13 °C
Cairo,30 °C
Canberra,-1 °C
Caracas,29 °C
Castries,30 °C
Chișinău,22 °C
Conakry,26 °C
Copenhagen,23 °C
Dakar,28 °C
Damascus,27 °C
Dhaka,28 °C
Djibouti,N/A
Dodoma,21 °C
Doha,34 °C
Douglas,17 °C
Dublin,17 °C
Dushanbe,26 °C
Freetown,28 °C
Funafuti,29 °C
Gaborone,18 °C
George Town (Cayman),32 °C
Georgetown (Guyana),28 °C
Gibraltar,25 °C
Gizo,24 °C
Guatemala City,26 °C
Hamilton,30 °C
Hanoi,29 °C
Harare,N/A
Havana,31 °C
Helsinki,16 °C
Honiara,25 °C
Islamabad,22 °C
Jakarta,28 °C
Jamestown,17 °C
Jerusalem,28 °C
Kampala,22 °C
Kathmandu,22 °C
Khartoum,36 °C
Kigali,25 °C
Kingston,32 °C
Kingstown,31 °C
Kinshasa,24 °C
Kuala Lumpur,27 °C
Kuwait City,35 °C
Kyiv,23 °C
Libreville,25 °C
Lilongwe,19 °C
Lima,16 °C
Lisbon,20 °C
Ljubljana,25 °C
Lomé,25 °C
London,23 °C
Luanda,22 °C
Lusaka,25 °C
Luxembourg,24 °C
Madrid,28 °C
Majuro,26 °C
Malabo,26 °C
Male,29 °C
Managua,34 °C
Manama,34 °C
Manila,25 °C
Maputo,20 °C
Maseru,20 °C
Mexico City,21 °C
Minsk,20 °C
Monaco,25 °C
Monrovia,25 °C
Montevideo,13 °C
Moroni,23 °C
Moscow,14 °C
Muscat,31 °C
N'Djamena,26 °C
Nairobi,17 °C
Nassau,31 °C
New Delhi,30 °C
Ngerulmud,27 °C
Niamey,32 °C
Nicosia,40 °C
North Nicosia,40 °C
Nukualofa,24 °C
Nursultan,18 °C
Nuuk,10 °C
Oranjestad,32 °C
Oslo,27 °C
Ottawa,30 °C
Palikir,25 °C
Panama,30 °C
Paramaribo,32 °C
Paris,26 °C
Phnom Penh,26 °C
Podgorica,20 °C
Port-au-Prince,33 °C
Port Louis,21 °C
Port of Spain,29 °C
Port Vila,15 °C
Porto Novo,25 °C
Prague,22 °C
Praia,28 °C
Pretoria,N/A
Pristina,22 °C
Pyongyang,26 °C
Quito,19 °C
Rabat,22 °C
Rarotonga,24 °C
Reykjavik,17 °C
Riga,20 °C
Riyadh,35 °C
Road Town,29 °C
Rome,28 °C
Roseau,30 °C
Saint-Denis,24 °C
Saint George's,30 °C
Saint John's,26 °C
San Jose,26 °C
San Juan,27 °C
San Marino,25 °C
San Salvador,29 °C
Santiago,20 °C
Santo Domingo,31 °C
São Tomé,26 °C
Sarajevo,18 °C
Seoul,26 °C
Singapore,29 °C
Skopje,23 °C
Sofia,22 °C
Sri Jayawardenepura Kotte,28 °C
Stanley,4 °C
Stockholm,20 °C
Suva,22 °C
Taipei,30 °C
Tallinn,18 °C
Tarawa,28 °C
Tashkent,30 °C
Tbilisi,26 °C
Tegucigalpa,29 °C
Tehran,30 °C
Thimphu,8 °C
Tirana,25 °C
Tokyo,26 °C
Tunis,26 °C
Ulaanbaatar,12 °C
Vaduz,22 °C
Valletta,25 °C
Vatican City,28 °C
Victoria,26 °C
Vienna,22 °C
Vientiane,26 °C
Vilnius,22 °C
Warsaw,22 °C
Washington DC,34 °C
Wellington,11 °C
Windhoek,17 °C
Yamoussoukro,28 °C
Yaoundé,22 °C
Yerevan,25 °C
Zagreb,24 °C
